size,qsort,odd-even,double-selection
6400,0.001677,0.306508,0.152847
6410,0.001750,0.311686,0.153660
6420,0.001689,0.311675,0.154833
6430,0.001746,0.315656,0.155985
6440,0.001698,0.315984,0.155177
6450,0.001661,0.315228,0.155356
6460,0.001695,0.321444,0.159106
6470,0.001720,0.316138,0.156320
6480,0.001697,0.319195,0.151477
6490,0.001669,0.319026,0.158940
6500,0.001693,0.322215,0.159808
6510,0.001744,0.316386,0.159634
6520,0.001808,0.325504,0.161492
6530,0.001729,0.326628,0.159568
6540,0.001735,0.319567,0.162180
6550,0.001713,0.331054,0.161361
6560,0.001726,0.326790,0.157160
6570,0.001684,0.324914,0.162534
6580,0.001744,0.323450,0.162701
6590,0.001813,0.328475,0.163672
6600,0.001762,0.324000,0.163122
6610,0.001887,0.350948,0.165333
6620,0.001706,0.327580,0.165465
6630,0.001754,0.336372,0.165568
6640,0.001730,0.325421,0.164575
6650,0.001739,0.339232,0.165082
6660,0.001758,0.337546,0.167678
6670,0.001774,0.341920,0.163169
6680,0.001744,0.340268,0.166868
6690,0.001832,0.341994,0.163420
6700,0.001805,0.341783,0.167208
6710,0.001782,0.341226,0.169678
6720,0.001776,0.343941,0.172327
6730,0.001808,0.345038,0.170989
6740,0.001772,0.345565,0.169156
6750,0.001769,0.345916,0.171226
6760,0.001807,0.345980,0.170634
6770,0.001802,0.348781,0.170317
6780,0.001860,0.352338,0.173270
6790,0.001744,0.351122,0.171717
6800,0.001772,0.353425,0.173610
6810,0.001860,0.352195,0.174725
6820,0.001792,0.357680,0.173880
6830,0.001946,0.355561,0.174546
6840,0.001733,0.351954,0.174887
6850,0.001812,0.357839,0.179115
6860,0.001830,0.359365,0.177382
6870,0.001850,0.359012,0.178104
6880,0.001851,0.360983,0.180778
6890,0.001849,0.363836,0.178842
6900,0.001864,0.364596,0.178948
6910,0.001835,0.364424,0.179582
6920,0.001858,0.364462,0.180720
6930,0.001857,0.369524,0.179008
6940,0.001837,0.368690,0.181253
6950,0.001826,0.370507,0.180323
6960,0.001864,0.370929,0.182560
6970,0.001872,0.374384,0.181499
6980,0.001793,0.371260,0.180871
6990,0.001791,0.373034,0.183526
7000,0.001921,0.375043,0.183224
7010,0.001898,0.380088,0.186339
7020,0.001865,0.377168,0.184086
7030,0.001880,0.382557,0.184803
7040,0.001878,0.378669,0.185793
7050,0.001861,0.378198,0.184109
7060,0.001902,0.379060,0.188437
7070,0.001885,0.381112,0.188821
7080,0.001900,0.383943,0.189645
7090,0.001995,0.383793,0.188619
7100,0.001906,0.388356,0.190628
7110,0.001916,0.390193,0.188350
7120,0.001937,0.389099,0.190163
7130,0.001866,0.392523,0.191087
7140,0.001937,0.389815,0.191373
7150,0.001866,0.390559,0.190123
7160,0.001917,0.388792,0.194167
7170,0.001966,0.396148,0.197173
7180,0.001977,0.392442,0.194330
7190,0.001846,0.396956,0.193544
7200,0.001952,0.396893,0.194186
7210,0.001884,0.397901,0.194712
7220,0.001911,0.399682,0.195416
7230,0.001870,0.401046,0.196292
7240,0.001865,0.401704,0.195688
7250,0.001971,0.403829,0.196296
7260,0.001958,0.402515,0.200683
7270,0.002057,0.403699,0.197170
7280,0.001932,0.408674,0.196936
7290,0.002013,0.406002,0.200443
7300,0.002015,0.406793,0.199733
7310,0.001943,0.410197,0.201301
7320,0.001913,0.408368,0.202984
7330,0.001932,0.409866,0.204406
7340,0.002014,0.414836,0.204174
7350,0.001967,0.412836,0.203378
7360,0.002002,0.418846,0.203713
7370,0.002042,0.416251,0.204680
7380,0.001985,0.419520,0.202958
7390,0.002005,0.423132,0.203256
7400,0.001983,0.419617,0.207792
7410,0.001991,0.420003,0.203658
7420,0.002022,0.421484,0.205730
7430,0.001986,0.424674,0.208769
7440,0.001991,0.425759,0.206222
7450,0.001968,0.426153,0.208426
7460,0.002036,0.427237,0.209628
